NAME,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MPG,PER,TEAM,SALARY,YEAR,POS,Segment
Cameron Payne,27,40,0.0,815,158,391,0.404,45.0,134.0,0.336,57,66,0.864,16.0,94.0,110.0,144,23.0,12.0,71.0,75,418,20.38,13.66,Phoenix Suns,6500000,2022, PG,Worst
Gary Payton II,29,57,11.0,948,163,264,0.617,36.0,96.0,0.375,29,50,0.58,54.0,142.0,196.0,45,80.0,18.0,29.0,96,391,16.63,19.84,Golden State Warriors,1669178,2022, SG,Average
Mason Plumlee,31,52,52.0,1327,153,240,0.638,0.0,2.0,0.0,44,118,0.373,135.0,284.0,419.0,158,47.0,32.0,71.0,160,350,25.52,15.1,Charlotte Hornets,9248333,2022, C,Average
Jakob Poeltl,26,50,49.0,1455,302,487,0.62,1.0,1.0,1.0,65,139,0.468,196.0,264.0,460.0,146,36.0,89.0,79.0,151,670,29.1,22.0,San Antonio Spurs,8750000,2022, C,Overperforming
Aleksej Pokusevski,20,44,2.0,734,106,265,0.4,32.0,116.0,0.276,11,18,0.611,43.0,147.0,190.0,52,23.0,25.0,52.0,53,255,16.68,11.28,Oklahoma City Thunder,3113160,2022, C,Underperforming
Jordan Poole,22,54,35.0,1554,300,683,0.439,126.0,373.0,0.338,156,169,0.923,25.0,142.0,167.0,190,44.0,16.0,125.0,140,882,28.78,16.21,Golden State Warriors,2161440,2022, SG,Overperforming
Kevin Porter Jr.,21,40,40.0,1194,186,471,0.395,91.0,240.0,0.379,77,127,0.606,30.0,129.0,159.0,242,48.0,10.0,137.0,100,540,29.85,12.28,Houston Rockets,1782621,2022, SG,Underperforming
Otto Porter Jr.,28,49,13.0,1050,156,327,0.477,70.0,180.0,0.389,30,39,0.769,53.0,205.0,258.0,75,53.0,24.0,25.0,65,412,21.43,17.59,Golden State Warriors,1669178,2022, SF,Average
Bobby Portis,27,52,47.0,1504,318,655,0.485,105.0,255.0,0.412,71,96,0.74,133.0,344.0,477.0,66,39.0,41.0,74.0,137,812,28.92,18.9,Milwaukee Bucks,4347600,2022, C,Overperforming
Kristaps Porzingis,26,34,34.0,1002,229,508,0.451,49.0,173.0,0.283,147,170,0.865,64.0,197.0,261.0,69,25.0,59.0,53.0,88,654,29.47,20.89,Dallas Mavericks,31650600,2022, C,Overperforming
Dwight Powell,30,60,49.0,1240,172,263,0.654,13.0,32.0,0.406,99,132,0.75,123.0,144.0,267.0,66,30.0,25.0,46.0,148,456,20.67,15.66,Dallas Mavericks,11080125,2022, C,Average
Norman Powell,28,40,39.0,1333,247,542,0.456,93.0,229.0,0.406,159,198,0.803,17.0,114.0,131.0,82,40.0,17.0,62.0,92,746,32.86,15.08,Los Angeles Clippers,15517241,2022, SF,Average
Taurean Prince,27,49,8.0,764,101,226,0.447,53.0,139.0,0.381,28,37,0.757,18.0,95.0,113.0,44,27.0,13.0,35.0,70,283,15.59,11.7,Minnesota Timberwolves,13000000,2022, PF,Worst
Payton Pritchard,24,51,2.0,644,94,240,0.392,53.0,144.0,0.368,14,14,1.0,16.0,64.0,80.0,93,10.0,4.0,33.0,44,255,12.63,12.2,Boston Celtics,2137440,2022, PG,Underperforming
Immanuel Quickley,22,56,2.0,1187,174,472,0.369,89.0,273.0,0.326,85,93,0.914,20.0,109.0,129.0,166,33.0,3.0,71.0,127,522,21.2,12.29,New York Knicks,2210640,2022, SG,Underperforming
Julius Randle,27,58,58.0,2069,408,980,0.416,93.0,308.0,0.302,232,302,0.768,105.0,485.0,590.0,305,44.0,34.0,206.0,164,1141,35.67,17.36,New York Knicks,21780000,2022, PF,Overperforming
Cam Reddish,22,34,7.0,797,138,343,0.402,58.0,153.0,0.379,72,80,0.9,20.0,64.0,84.0,38,35.0,11.0,44.0,45,406,20.84,13.23,New York Knicks,4670160,2022, SF,Underperforming
Naz Reid,22,58,5.0,924,171,363,0.471,42.0,124.0,0.339,83,112,0.741,80.0,141.0,221.0,52,25.0,61.0,58.0,126,467,15.93,17.58,Minnesota Timberwolves,1782621,2022, C,Average
Josh Richardson,28,44,0.0,1087,152,343,0.443,62.0,156.0,0.397,61,71,0.859,26.0,99.0,125.0,66,34.0,23.0,39.0,82,427,24.52,13.0,Boston Celtics,11615328,2022, SG,Worst
Austin Rivers,29,46,13.0,976,103,248,0.415,56.0,162.0,0.346,20,29,0.69,15.0,65.0,80.0,55,34.0,4.0,39.0,75,282,21.22,7.66,Denver Nuggets,1669178,2022, SG,Worst
Duncan Robinson,27,58,53.0,1570,225,570,0.395,174.0,482.0,0.361,40,48,0.833,20.0,150.0,170.0,90,35.0,11.0,49.0,156,664,27.07,11.22,Miami Heat,15650000,2022, SG,Average
Mitchell Robinson,23,54,45.0,1377,189,249,0.759,0.0,0.0,0.0,68,131,0.519,206.0,266.0,472.0,23,36.0,89.0,43.0,147,446,25.5,20.5,New York Knicks,1802057,2022, C,Average
