SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2015-16,Atlanta Hawks,March,1484.5532326151822,82.0,3966.0,8433.0,48.0,34.0,3168.0,6923.0,815.0,2326.0,1282.0,1638.0,679.0,2772.0,3451.0,2100.0,1226.0,747.0,486.0,1570.0
2015-16,Atlanta Hawks,November,1524.2257087606506,34.0,1632.0,3468.0,21.0,13.0,1295.0,2818.0,304.0,894.0,574.0,719.0,292.0,1085.0,1377.0,851.0,498.0,319.0,183.0,632.0
2016-17,Atlanta Hawks,October,1375.6583371092909,19.0,912.0,1935.0,10.0,9.0,734.0,1600.0,165.0,495.0,302.0,432.0,196.0,659.0,855.0,445.0,331.0,178.0,104.0,339.0
2016-17,Atlanta Hawks,April,1399.3612330719704,3.0,144.0,324.0,3.0,0.0,119.0,252.0,28.0,76.0,58.0,88.0,37.0,105.0,142.0,83.0,46.0,35.0,20.0,53.0
2016-17,Atlanta Hawks,December,1457.2953281896714,48.0,2334.0,4981.0,28.0,20.0,1864.0,4105.0,434.0,1251.0,819.0,1133.0,499.0,1605.0,2104.0,1167.0,737.0,408.0,238.0,860.0
2016-17,Atlanta Hawks,February,1473.3842972170867,75.0,3635.0,7721.0,39.0,36.0,2849.0,6325.0,657.0,1938.0,1366.0,1883.0,775.0,2545.0,3320.0,1749.0,1184.0,626.0,373.0,1355.0
2016-17,Atlanta Hawks,January,1474.209481512102,59.0,2867.0,6102.0,33.0,26.0,2271.0,5013.0,519.0,1533.0,1041.0,1434.0,598.0,2013.0,2611.0,1397.0,905.0,487.0,295.0,1053.0
2016-17,Atlanta Hawks,March,1489.3359221311282,82.0,3976.0,8459.0,43.0,39.0,3123.0,6918.0,729.0,2137.0,1484.0,2039.0,842.0,2793.0,3635.0,1938.0,1294.0,672.0,397.0,1491.0
2016-17,Atlanta Hawks,November,1490.7526158754245,33.0,1589.0,3364.0,17.0,16.0,1272.0,2801.0,280.0,860.0,540.0,750.0,350.0,1095.0,1445.0,791.0,530.0,286.0,169.0,594.0
2017-18,Atlanta Hawks,October,1247.2037618873044,21.0,1008.0,2158.0,4.0,17.0,813.0,1785.0,224.0,586.0,308.0,388.0,188.0,649.0,837.0,487.0,334.0,188.0,78.0,430.0
2017-18,Atlanta Hawks,April,1260.5994370378887,7.0,336.0,697.0,1.0,6.0,257.0,606.0,68.0,182.0,115.0,134.0,63.0,228.0,291.0,146.0,101.0,63.0,24.0,154.0
2017-18,Atlanta Hawks,December,1286.8949460436759,51.0,2453.0,5286.0,15.0,36.0,1959.0,4337.0,558.0,1512.0,810.0,1022.0,491.0,1589.0,2080.0,1216.0,790.0,408.0,218.0,1022.0
2017-18,Atlanta Hawks,February,1278.1844096254365,76.0,3653.0,7869.0,21.0,55.0,2897.0,6489.0,845.0,2340.0,1230.0,1558.0,696.0,2465.0,3161.0,1795.0,1183.0,601.0,326.0,1495.0
2017-18,Atlanta Hawks,January,1377.2342101772606,62.0,2981.0,6420.0,19.0,43.0,2364.0,5275.0,672.0,1868.0,1020.0,1289.0,586.0,1956.0,2542.0,1465.0,955.0,503.0,275.0,1230.0
2017-18,Atlanta Hawks,March,1282.5559422864037,82.0,3941.0,8475.0,24.0,58.0,3130.0,7015.0,917.0,2544.0,1298.0,1654.0,743.0,2693.0,3436.0,1946.0,1274.0,638.0,348.0,1606.0
