Year,Series,Team1  ,Team2                 ,Winner
275 ,2004  ,Playoff,New Jersey Nets       ,New York Knicks       ,New York Knicks
276 ,2004  ,Playoff,Los Angeles Lakers    ,Houston Rockets       ,Houston Rockets
277 ,2004  ,Playoff,Minnesota Timberwolves,Denver Nuggets        ,Denver Nuggets
278 ,2004  ,Playoff,Sacramento Kings      ,Dallas Mavericks      ,Dallas Mavericks
279 ,2004  ,Playoff,San Antonio Spurs     ,Memphis Grizzlies     ,Memphis Grizzlies
280 ,2004  ,Quarter,Detroit Pistons       ,New Jersey Nets       ,Detroit Pistons
281 ,2004  ,Quarter,Indiana Pacers        ,Miami Heat            ,Miami Heat
282 ,2004  ,Quarter,Los Angeles Lakers    ,San Antonio Spurs     ,San Antonio Spurs
283 ,2004  ,Quarter,Minnesota Timberwolves,Sacramento Kings      ,Sacramento Kings
284 ,2004  ,Semi   ,Detroit Pistons       ,Indiana Pacers        ,Detroit Pistons
285 ,2004  ,Semi   ,Los Angeles Lakers    ,Minnesota Timberwolves,Los Angeles Lakers
286 ,2004  ,Final  ,Detroit Pistons       ,Los Angeles Lakers    ,Detroit Pistons
288 ,2003  ,Playoff,Boston Celtics        ,Indiana Pacers        ,Boston Celtics
289 ,2003  ,Playoff,Detroit Pistons       ,Orlando Magic         ,Orlando Magic
290 ,2003  ,Playoff,New Jersey Nets       ,Milwaukee Bucks       ,Milwaukee Bucks
291 ,2003  ,Playoff,Philadelphia 76ers    ,New Orleans Hornets   ,Philadelphia 76ers
292 ,2003  ,Playoff,Dallas Mavericks      ,Portland Trail Blazers,Portland Trail Blazers
293 ,2003  ,Playoff,Los Angeles Lakers    ,Minnesota Timberwolves,Los Angeles Lakers
294 ,2003  ,Playoff,Sacramento Kings      ,Utah Jazz             ,Utah Jazz
295 ,2003  ,Playoff,San Antonio Spurs     ,Phoenix Suns          ,Phoenix Suns
296 ,2003  ,Quarter,Detroit Pistons       ,Philadelphia 76ers    ,Philadelphia 76ers
297 ,2003  ,Quarter,New Jersey Nets       ,Boston Celtics        ,Boston Celtics
298 ,2003  ,Quarter,Dallas Mavericks      ,Sacramento Kings      ,Dallas Mavericks
299 ,2003  ,Quarter,San Antonio Spurs     ,Los Angeles Lakers    ,Los Angeles Lakers
300 ,2003  ,Semi   ,New Jersey Nets       ,Detroit Pistons       ,New Jersey Nets
301 ,2003  ,Semi   ,San Antonio Spurs     ,Dallas Mavericks      ,Dallas Mavericks
302 ,2003  ,Final  ,San Antonio Spurs     ,New Jersey Nets       ,New Jersey Nets
304 ,2002  ,Playoff,Boston Celtics        ,Philadelphia 76ers    ,Philadelphia 76ers
305 ,2002  ,Playoff,Charlotte Hornets     ,Orlando Magic         ,Orlando Magic
306 ,2002  ,Playoff,Detroit Pistons       ,Toronto Raptors       ,Toronto Raptors
307 ,2002  ,Playoff,New Jersey Nets       ,Indiana Pacers        ,Indiana Pacers
308 ,2002  ,Playoff,Dallas Mavericks      ,Minnesota Timberwolves,Minnesota Timberwolves
309 ,2002  ,Playoff,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
310 ,2002  ,Playoff,Sacramento Kings      ,Utah Jazz             ,Utah Jazz
311 ,2002  ,Playoff,San Antonio Spurs     ,Seattle SuperSonics   ,Seattle SuperSonics
312 ,2002  ,Quarter,Boston Celtics        ,Detroit Pistons       ,Boston Celtics
