TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
New Orleans Pelicans,2951,6414,979.0,2648.0,1187,1621,745.0,2461.0,3206.0,1886,530.0,334.0,1094.0,1444,8068,16.49,2019-20,0,0,0,0,0,,30,42,0.417,22.5,18-30,4-9  ,15-21,15-21,2-4 ,,,1610612740,1498.7293733175657
New York Knicks,2532,5658,599.0,1769.0,1016,1467,777.0,2209.0,2986.0,1383,487.0,303.0,875.0,1397,6679,13.04,2019-20,0,0,0,0,0,,21,45,0.318,31.5,15-28,2-11 ,11-22,10-23,3-1 ,,,1610612752,1373.0579477617653
Oklahoma City Thunder,2811,5934,749.0,2063.0,1409,1763,575.0,2403.0,2978.0,1521,537.0,338.0,906.0,1328,7780,14.36,2019-20,1,0,0,0,0,5.0,44,28,0.611,8.5 ,27-19,8-5  ,23-14,21-14,4-2 ,,,1610612760,1615.0637120758784
Orlando Magic,2715,6062,746.0,2159.0,1210,1551,660.0,2272.0,2932.0,1681,547.0,359.0,816.0,1201,7386,15.39,2019-20,1,0,0,0,0,8.0,33,40,0.452,23  ,20-23,9-5  ,18-17,15-23,1-1 ,,,1610612753,1462.5249899819416
Philadelphia 76ers,2745,5879,782.0,2127.0,1155,1523,668.0,2316.0,2984.0,1720,544.0,330.0,908.0,1365,7427,15.58,2019-20,1,0,0,0,0,7.0,43,30,0.589,13  ,28-18,11-5 ,31-4 ,12-26,1-2 ,,,1610612755,1492.2355566589663
Phoenix Suns,2835,6079,801.0,2227.0,1393,1672,666.0,2290.0,2956.0,1895,522.0,271.0,974.0,1495,7864,15.05,2019-20,0,0,0,0,0,,34,39,0.466,19  ,19-27,6-9  ,17-22,17-17,1-2 ,,,1610612756,1599.5472890824676
Portland Trail Blazers,2976,6456,938.0,2479.0,1247,1541,647.0,2374.0,3021.0,1438,433.0,419.0,838.0,1426,8137,13.96,2019-20,1,0,0,0,0,8.0,35,39,0.473,18.5,20-27,5-8  ,21-15,14-24,3-0 ,,,1610612757,1524.7336499526684
Sacramento Kings,2737,5928,890.0,2408.0,1051,1354,607.0,2155.0,2762.0,1649,522.0,250.0,925.0,1442,7415,13.83,2019-20,0,0,0,0,0,,31,41,0.431,21.5,23-23,8-5  ,16-19,15-22,2-4 ,,,1610612758,1500.881946866259
San Antonio Spurs,2855,6086,739.0,1970.0,1267,1555,578.0,2365.0,2943.0,1683,491.0,360.0,807.0,1271,7716,15.92,2019-20,0,0,0,0,0,,32,39,0.451,20  ,20-23,7-6  ,19-15,13-24,4-2 ,,,1610612759,1521.0254776173736
Toronto Raptors,2759,6019,924.0,2490.0,1288,1608,651.0,2447.0,3098.0,1746,607.0,348.0,963.0,1457,7730,16.84,2019-20,1,1,0,0,0,4.0,53,19,0.736,2.5 ,34-11,9-5  ,26-10,27-9 ,2-2 ,,,1610612761,1712.042677631068
Utah Jazz,2785,5893,941.0,2456.0,1237,1585,596.0,2420.0,3016.0,1556,412.0,270.0,989.0,1340,7748,15.48,2019-20,1,0,0,0,0,6.0,44,28,0.611,8.5 ,24-21,5-7  ,23-12,21-16,0-2 ,,,1610612762,1532.2871501185623
Washington Wizards,2679,5814,758.0,2037.0,1234,1550,610.0,2004.0,2614.0,1571,465.0,265.0,840.0,1328,7350,15.0,2019-20,0,0,0,0,0,,25,47,0.347,30.5,18-27,5-9  ,16-20,9-27 ,0-3 ,,,1610612764,1354.2095028895635
Atlanta Hawks,3133,6917,984.0,2778.0,1349,1771,838.0,2532.0,3370.0,1951,610.0,380.0,1258.0,1713,8599,15.23,2018-19,0,0,0,0,0,,29,53,0.354,31  ,16-36,6-10 ,17-24,12-29,3-1 ,,,1610612737,1438.0665775427838
Boston Celtics,3313,7151,1001.0,2744.0,1232,1529,741.0,2714.0,3455.0,2068,674.0,386.0,975.0,1563,8859,16.18,2018-19,1,1,0,0,0,8.0,49,33,0.598,11  ,35-17,10-6 ,28-13,21-20,4-0 ,,,1610612738,1585.7116420592474
Brooklyn Nets,3227,7195,1033.0,2901.0,1519,2036,871.0,2833.0,3704.0,1921,527.0,335.0,1152.0,1732,9006,14.76,2018-19,1,0,0,0,0,6.0,42,40,0.512,18  ,29-23,8-8  ,23-18,19-22,5-2 ,,,1610612751,1499.404147375711
Charlotte Hornets,3291,7336,977.0,2777.0,1505,1886,814.0,2773.0,3587.0,1901,589.0,405.0,952.0,1546,9064,15.56,2018-19,0,0,0,0,0,,39,43,0.476,21  ,29-23,10-6 ,25-16,14-27,1-4 ,,,1610612766,1513.0333551607137
