TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
Detroit Pistons,2386,5126,707.0,1919.0,1008,1350,601.0,1963.0,2564.0,1345,445.0,282.0,849.0,1147,6487,13.57,2019-20,0,0,0,0,0,,20,46,0.303,32.5,12-31,5-10 ,11-22,9-24 ,1-4 ,1610612765,1190.420277344154
Golden State Warriors,2197,4970,588.0,1733.0,1071,1328,549.0,1883.0,2432.0,1454,463.0,248.0,797.0,1087,6053,13.28,2019-20,0,0,0,0,0,,15,50,0.231,34  ,9-34 ,2-11 ,8-26 ,7-24 ,0-5 ,1610612744,1235.6716586230948
Houston Rockets,2640,5884,1016.0,2903.0,1383,1737,591.0,2165.0,2756.0,1418,547.0,309.0,925.0,1316,7679,15.07,2019-20,1,1,0,0,0,8.0,44,28,0.611,8.5 ,28-19,8-5  ,24-12,20-16,2-1 ,1610612745,1470.0298421368689
Indiana Pacers,2819,5908,709.0,1898.0,1024,1278,540.0,2212.0,2752.0,1765,488.0,310.0,841.0,1233,7371,15.8,2019-20,1,0,0,0,0,4.0,45,28,0.616,11  ,28-19,8-7  ,25-11,20-17,3-1 ,1610612754,1441.2581447297837
Los Angeles Clippers,2782,5937,818.0,2199.0,1421,1787,731.0,2466.0,3197.0,1502,467.0,316.0,902.0,1392,7803,15.8,2019-20,1,1,0,0,0,4.0,49,23,0.681,3.5 ,32-16,8-6  ,27-9 ,22-14,2-1 ,1610612746,1508.7090562212184
Los Angeles Lakers,2834,5847,699.0,1995.0,1224,1680,715.0,2355.0,3070.0,1724,571.0,451.0,994.0,1338,7591,15.84,2019-20,1,1,1,1,0,4.0,52,19,0.732,--  ,36-10,10-3 ,25-10,27-9 ,2-0 ,1610612747,1632.535591069569
Memphis Grizzlies,2838,6020,709.0,2016.0,1103,1444,661.0,2350.0,3011.0,1821,501.0,347.0,957.0,1380,7488,16.25,2019-20,0,0,0,0,0,,34,39,0.466,19  ,20-26,4-9  ,20-17,14-22,1-1 ,1610612763,1370.8897364459965
Miami Heat,2664,5649,920.0,2388.0,1353,1706,510.0,2339.0,2849.0,1731,492.0,264.0,901.0,1276,7601,16.0,2019-20,1,1,1,1,1,20.0,44,29,0.603,12  ,30-13,10-4 ,29-7 ,15-22,8-1 ,1610612748,1553.008990761067
Milwaukee Bucks,3026,6329,967.0,2688.0,1300,1738,647.0,2898.0,3545.0,1792,501.0,408.0,1014.0,1321,8319,20.05,2019-20,1,1,0,0,0,2.0,56,17,0.767,--  ,37-7 ,13-1 ,30-5 ,26-12,1-2 ,1610612749,1488.4808804024317
Minnesota Timberwolves,1983,4497,650.0,1930.0,977,1299,515.0,1619.0,2134.0,1226,454.0,285.0,742.0,1031,5593,12.56,2019-20,0,0,0,0,0,,19,45,0.297,29.5,9-30 ,2-10 ,8-24 ,11-21,4-3 ,1610612750,1218.7516659580392
